RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
8.2,Andrei Rublev ,8.2,Drama,Biography,"The life, times and afflictions of the fifteenth-century Russian iconographer.","Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",3h 25min,"
             $12,807,
, 
        "
8.1,Spotlight ,8.1,Drama,Crime,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Mark Ruffalo,Michael Keaton,Rachel McAdams",2h 9min,"
            $20,000,000
            
        "
8.1,The 400 Blows ,8.1,Drama,Crime,"A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre Léaud,Albert Rémy,Claire Maurier",1h 39min,"
  Show more on
   »
  "
8.1,Logan ,8.1,Drama,Action,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman,Patrick Stewart,Dafne Keen",2h 17min,"
            $97,000,000
            
        "
8.1,Catch Me If You Can ,8.1,Crime,Biography,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Leonardo DiCaprio,Tom Hanks,Christopher Walken",2h 21min,"
            $52,000,000
            
        "
8.1,Rush ,8.1,Biography,Action,The merciless 1970s rivalry between Formula One rivals,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",2h 3min,"
            $38,000,000
            
        "
8.1,Mad Max: Fury Road ,8.1,Adventure,Action,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Tom Hardy,Charlize Theron,Nicholas Hoult",2h,"
    
,,      
    "
8.1,Hachi: A Dog's Tale ,8.1,Family,Drama,A college professor bonds with an abandoned dog he takes into his home.,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",1h 33min,"
            $16,000,000
            
        "
8.2,Neon Genesis Evangelion: The End of Evangelion ,8.2,Action,Animation,Concurrent theatrical ending of the TV series,"Megumi Ogata,Megumi Hayashibara,Yûko Miyamura",1h 30min,"
      
        
    "
8.1,The Wages of Fear ,8.1,Drama,Adventure,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Yves Montand,Charles Vanel,Peter van Eyck",2h 11min,"
  Show more on
   »
  "
8.3,The Bandit ,8.3,Drama,Crime,"Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.","Sener Sen,Ugur Yücel,Sermin Hürmeriç",2h 8min,"
 $1,979,000, 
        "
8.1,Before Sunrise ,8.1,Romance,Drama,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Ethan Hawke,Julie Delpy,Andrea Eckert",1h 41min,"
             $1,423,537,
, 
        "
8.1,Hotel Rwanda ,8.1,Drama,Biography,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix",2h 1min,"
            $17,500,000
            
        "
8.1,Prisoners ,8.1,Drama,Crime,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Hugh Jackman,Jake Gyllenhaal,Viola Davis",2h 33min,"
            $46,000,000
            
        "
8.1,Ben-Hur ,8.1,Drama,Adventure,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Charlton Heston,Jack Hawkins,Stephen Boyd",3h 32min,"
 $74,700,000
        "
8.1,Million Dollar Baby ,8.1,Sport,Drama,A determined woman works with a hardened boxing trainer to become a professional.,"Hilary Swank,Clint Eastwood,Morgan Freeman",2h 12min,"
            $30,000,000
            
        "
8.1,12 Years a Slave ,8.1,Drama,Biography,"In the antebellum United States,","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",2h 14min,"
            $20,000,000
            
        "
8.1,Network ,8.1,"27 November 1976 (USA)
",Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,"Faye Dunaway,William Holden,Peter Finch",2h 1min,"
  Show more on
   »
  "
8.1,Persona ,8.1,Thriller,Drama,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Bibi Andersson,Liv Ullmann,Margaretha Krook",1h 23min,"
  Show more on
   »
  "
8.1,Into the Wild ,8.1,Biography,Adventure,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Emile Hirsch,Vince Vaughn,Catherine Keener",2h 28min,"
            $15,000,000
            
        "
8.1,Monty Python's Life of Brian ,8.1,"17 August 1979 (USA)
",Comedy,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman,John Cleese,Michael Palin",1h 34min,"
             $140,034,
, 
        "
8.1,Memories of Murder ,8.1,Crime,Action,"In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",2h 12min,"
            $2,800,000
            
        "
8.1,It Happened One Night ,8.1,Romance,Comedy,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,"Clark Gable,Claudette Colbert,Walter Connolly",1h 45min,"
 $4,360,000
        "
8.1,Amores Perros ,8.1,Thriller,Drama,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarría,Gael García Bernal,Goya Toledo",2h 34min,"
            $2,000,000
            
        "
8.1,In the Name of the Father ,8.1,Drama,Biography,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",2h 13min,"
 $25,010,410
        "
