,Player,Number,Position,Height
429,AlexLen,25,Center,7 ft 1 in | 250 lbs
430,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
431,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
432,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
433,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
434,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
435,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
436,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
437,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
438,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
439,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
440,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
441,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
442,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
443,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
444,AlexLen,25,Center,7 ft 1 in | 250 lbs
445,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
446,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
447,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
448,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
449,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
